                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4838,                 5.0684,                 1.2743,                 0.8305,                0.76996,                0.85818,                0.57937,                 1.1656,                 1.6883,                 1.0984,                 0.0829,                 0.0019,                 0.0019
                      1,                 1.0593,                 1.0995,                  1.139,                0.91284,                0.95714,                0.96256,                0.70058,                0.96349,                0.95329,                0.99747,                 0.0649,              0.0038996,              0.0038996
                      2,                 1.0067,                0.85448,                 1.0878,                0.95176,                    0.9,                 0.9655,                0.74745,                0.92035,                0.58162,                0.97469,               0.046899,              0.0058988,              0.0058988
                      3,                 1.0085,                0.93184,                 1.0569,                 0.9708,                 0.9501,                0.98422,                0.74677,                0.94611,                0.60028,                0.98658,               0.028898,              0.0078977,              0.0078977
                      4,                0.98929,                0.88946,                 1.0857,                0.92922,                0.98571,                0.96741,                0.67392,                0.99354,                0.82757,                  1.003,               0.010896,              0.0098961,              0.0098961
                      5,                 1.0748,                0.85929,                 1.1053,                0.90678,                0.92857,                0.95835,                0.68276,                 1.0269,                0.71063,                 1.0487,               0.009995,               0.009995,               0.009995
                      6,                0.96068,                0.88135,                 1.0372,                0.69968,                0.89863,                0.76008,                 0.5319,                0.94474,                 2.0715,                 1.0951,               0.009995,               0.009995,               0.009995
                      7,                 1.0299,                0.79998,                 1.0801,                0.86487,                0.82857,                0.90212,                0.65953,                0.93709,                 1.0653,                 1.0154,              0.0099941,              0.0099941,              0.0099941
                      8,                 1.0437,                0.80123,                 1.0821,                0.72114,                0.70196,                0.75915,                0.55342,                 1.0086,                 1.3422,                  1.179,              0.0099931,              0.0099931,              0.0099931
                      9,                 1.0208,                0.71564,                  1.059,                0.87762,                0.92209,                0.92809,                 0.6711,                0.96512,                 1.0217,                  1.128,              0.0099921,              0.0099921,              0.0099921
                     10,                 1.0207,                0.78188,                 1.0929,                0.95092,                0.88571,                0.96563,                0.73657,                0.94165,                0.67131,                 1.0218,              0.0099911,              0.0099911,              0.0099911
                     11,                 1.0598,                0.70114,                 1.0629,                0.92708,                      1,                0.98259,                0.70771,                0.97759,                 1.0095,                 1.0242,              0.0099901,              0.0099901,              0.0099901
                     12,                 1.0779,                0.73023,                 1.1058,                0.91304,                0.98571,                0.96965,                0.69172,                0.98913,                 1.0942,                 1.0997,              0.0099891,              0.0099891,              0.0099891
                     13,                 1.0744,                0.70337,                 1.0674,                0.91634,                0.93891,                0.95486,                0.68761,                0.97927,                0.79672,                  1.074,              0.0099881,              0.0099881,              0.0099881
                     14,                 1.0359,                0.67239,                 1.0949,                0.96866,                0.88306,                0.95387,                0.70716,                0.89412,                0.71975,                 1.0458,              0.0099871,              0.0099871,              0.0099871
                     15,                  0.979,                0.69387,                 1.0494,                 0.9452,                0.98562,                0.98923,                0.74538,                0.84055,                0.77691,                0.98562,              0.0099861,              0.0099861,              0.0099861
                     16,                 1.0145,                0.68119,                 1.0909,                0.93179,                0.88571,                0.94422,                0.71425,                0.88447,                0.87505,                 1.0052,              0.0099851,              0.0099851,              0.0099851
